"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Perl", "TypeScript", "Markdown", "Groovy", "YAML", "comment", "blank", "total"
"d:\ttlab\qr-code-backend\database\factories\permission_resource.factory.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"d:\ttlab\qr-code-backend\database\factories\product.factory.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 28
"d:\ttlab\qr-code-backend\database\factories\provider.factory.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"d:\ttlab\qr-code-backend\database\factories\role.factory.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 3, 23
"d:\ttlab\qr-code-backend\database\factories\role_permission.factory.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\ttlab\qr-code-backend\database\factories\user.factory.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"d:\ttlab\qr-code-backend\database\factories\user_role.factory.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\ttlab\qr-code-backend\database\factories\user_token.factory.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"d:\ttlab\qr-code-backend\database\migrations\1659530870541-db-migration.ts", "TypeScript", 0, 0, 0, 0, 64, 0, 0, 0, 0, 5, 69
"d:\ttlab\qr-code-backend\database\seedings\000.seed-user.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 2, 61
"d:\ttlab\qr-code-backend\database\seedings\001.permission-action.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 3, 50
"d:\ttlab\qr-code-backend\database\seedings\002.permission-resource.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 3, 31
"d:\ttlab\qr-code-backend\database\seedings\003.role.seed.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"d:\ttlab\qr-code-backend\database\seedings\004.user-role.seed.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 0, 0, 6, 62
"d:\ttlab\qr-code-backend\database\seedings\005.permission.seed.ts", "TypeScript", 0, 0, 0, 0, 82, 0, 0, 0, 0, 7, 89
"d:\ttlab\qr-code-backend\database\seedings\006.role-permission.seed.ts", "TypeScript", 0, 0, 0, 0, 80, 0, 0, 0, 35, 10, 125
"d:\ttlab\qr-code-backend\database\seedings\007.category.seed.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 48
"d:\ttlab\qr-code-backend\database\seedings\008.file.seed.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 5, 66
"d:\ttlab\qr-code-backend\database\seedings\009.provider.seed.ts", "TypeScript", 0, 0, 0, 0, 69, 0, 0, 0, 0, 6, 75
"d:\ttlab\qr-code-backend\database\seedings\010.product.seed.ts", "TypeScript", 0, 0, 0, 0, 109, 0, 0, 0, 0, 18, 127
"d:\ttlab\qr-code-backend\database\seedings\011.action.seed.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 0, 0, 0, 6, 61
"d:\ttlab\qr-code-backend\database\seedings\excutor\index.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
"d:\ttlab\qr-code-backend\database\temp\001-User.ts", "TypeScript", 0, 0, 0, 0, 64, 0, 0, 0, 8, 4, 76
"d:\ttlab\qr-code-backend\database\temp\002-Role.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"d:\ttlab\qr-code-backend\database\temp\003-UserRole.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 5, 52
"d:\ttlab\qr-code-backend\database\temp\013-UserToken.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 4, 61
"d:\ttlab\qr-code-backend\database\temp\migrations\1656263529307-db-migration.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 5, 43
"d:\ttlab\qr-code-backend\database\temp\migrations\1656410978612-db-migration.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 5, 43
"d:\ttlab\qr-code-backend\database\temp\seeds\001-SeedingRole.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 5, 46
"d:\ttlab\qr-code-backend\database\temp\seeds\006-SeedingUser.ts", "TypeScript", 0, 0, 0, 0, 77, 0, 0, 0, 0, 3, 80
